movie_key,title,directors,stars,genre,runtime,grade,synopsis,violence_per,violence,nudity,word,alcohol
tt0169547,American Beauty,Sam Mendes,Kevin Spacey Annette Bening Thora Birch Wes Bentley,Drama,122,18,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,0.795,3,3,2,smoking and drinking
tt5867314,The Empty Man,David Prior,James Badge Dale Marin Ireland Sasha Frolova Samantha Logan,Crime/ Drama/ Horror,137,R,On the trail of a missing girl/ an ex-cop comes across a secretive group attempting to summon a terrifying supernatural entity.,0.747,1,3,1,smoking and drinking
tt0181875,Almost Famous,Cameron Crowe,Billy Crudup Patrick Fugit Kate Hudson Frances McDormand,Adventure/ Comedy/ Drama,122,18,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,0.6601,0,3,2,drinking
tt0093773,Predator,John McTiernan,Arnold Schwarzenegger Carl Weathers Kevin Peter Hall Elpidia Carrillo,Action/ Adventure/ Sci-Fi,107,18,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,0.8308,3,3,7,smoking and drinking
tt8160834,Follow Me,Will Wernick,Keegan Allen Holland Roden Denzel Whitaker Ronen Rubinstein,Adventure/ Horror/ Thriller,91,15,A social media personality travels with his friends to Moscow to capture new content for his successful VLOG. Always pushing the limits and catering to a growing audience/ they enter a cold world of mystery/ excess/ and danger.,0.8185,3,3,3,smoking and drinking
tt1396484,It,Andy Muschietti,Bill Skarsgård Jaeden Martell Finn Wolfhard Sophia Lillis,Horror,135,15,In the summer of 1989/ a group of bullied kids band together to destroy a shape-shifting monster/ which disguises itself as a clown and preys on the children of Derry/ their small Maine town.,0.7942,3,1,4,smoking
tt1130884,Shutter Island,Martin Scorsese,Leonardo DiCaprio Emily Mortimer Mark Ruffalo Ben Kingsley,Mystery/ Thriller,138,15,In 1954/ a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.,0.827,3,3,4,smoking and drinking
tt0758758,Into the Wild,Sean Penn,Emile Hirsch Vince Vaughn Catherine Keener Marcia Gay Harden,Adventure/ Biography/ Drama,148,15,After graduating from Emory University/ top student and athlete Christopher McCandless abandons his possessions/ gives his entire $24/000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way/ Christopher encounters a series of characters that shape his life.,0.7819,3,3,3,smoking and drinking
tt2278388,The Grand Budapest Hotel,Wes Anderson,Ralph Fiennes F. Murray Abraham Mathieu Amalric Adrien Brody,Adventure/ Comedy/ Crime,99,15,A writer encounters the owner of an aging high-class hotel/ who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.,0.7878,3,3,5,smoking and drinking
tt0073486,One Flew Over the Cuckoo's Nest,Milos Forman,Jack Nicholson Louise Fletcher Michael Berryman Peter Brocco,Drama,133,18,A criminal pleads insanity and is admitted to a mental institution/ where he rebels against the oppressive nurse and rallies up the scared patients.,0.7824,3,3,3,smoking and drinking
